id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
test-2,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000339,0.100860,99.7,6476,12642,7,6,8,5,6,"Router covers basic cases well with clean structure, but misses important valid formats (plus addressing, dots, numbers, hyphens), lacks TLD validation tests, doesn't test non-string inputs, and omits RFC 5321 constraints like local part length limits.",""
test-3,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000263,0.055890,99.5,4797,7153,7,6,6,5,6,"Router covers core async error cases but misses edge cases (null, empty string), lacks proper mock cleanup, doesn't verify fetch calls, and uses less idiomatic vitest patterns than benchmark.",""
bug-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000189,0.020565,99.1,1782,3799,10,10,9,9,9,"Router provides correct fix with clear explanation, slightly less detailed root cause analysis than benchmark but functionally identical solution.",""
bug-2,local_bug_fix,local_bug_fix,4,google/gemini-2.5-pro,strong,0.001155,0.026520,95.6,12079,4853,,,,,,"",""
bug-3,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000205,0.021855,99.1,2131,3674,10,10,9,9,9,"Router correctly identifies the infinite loop bug and provides the right fix with functional updates and empty dependency array, with only minor stylistic differences from benchmark.",""
bug-4,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000197,0.020745,99.1,1910,3177,10,9,9,8,9,"Router correctly fixes the bug with clear explanation, but misses mentioning the more idiomatic `slice(-n)` alternative that benchmark notes.",""
api-1,api_implementation,api_implementation,3,anthropic/claude-sonnet-4.6,mid,0.007905,0.034440,77.0,3748,4450,8,7,7,7,7,"Router response works correctly but has architectural issues: creates new PrismaClient instance (should be singleton), lacks max length validation, catches all errors instead of delegating to error handler, and uses less idiomatic error handling patterns.",""
api-2,api_implementation,api_implementation,3,anthropic/claude-sonnet-4.6,mid,0.007840,0.044415,82.3,3115,6390,9,7,8,6,7,"Router implementation works correctly and handles the core requirements, but lacks JSON schema validation, modular structure, and error handling granularity that the benchmark demonstrates.",""
api-3,api_implementation,api_implementation,3,anthropic/claude-sonnet-4.6,mid,0.007375,0.035625,79.3,3106,5429,8,7,7,6,7,"Router response correctly implements Zod validation with proper error handling, but uses parse() instead of safeParse(), lacks field constraints (max lengths, finite), and has less structured error formatting than benchmark.",""
sec-1,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.019070,0.169350,88.7,24232,27982,8,6,8,7,7,"Router response is mostly correct and well-documented but incomplete (cut off mid-function), lacks 72-byte password length validation, and missing test coverage that benchmark includes.",""
sec-2,security_sensitive_change,api_implementation,5,openai/gpt-4o,strong,0.009915,0.074460,86.7,5005,11594,6,5,6,4,5,"Router response works but lacks critical security features: no rotation frequency limiting, no refresh token, no environment variable validation, and returns the old token in response which is a security anti-pattern.",""
sec-3,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.013139,0.243870,94.6,25052,35113,7,6,7,5,6,"Router uses standard csurf library (simpler, production-ready) but lacks token expiry, timing-safe comparison, and custom token generation that benchmark provides; incomplete error handler in response; adequate for basic CSRF protection but missing advanced security hardening.",""
sec-4,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.015965,0.243600,93.4,22156,32498,7,6,8,6,6,"Router response is incomplete (truncated mid-function) and lacks key production features like key rotation support and structured metadata, but the core encryption logic shown is sound and well-documented.",""
db-1,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4.6,mid,0.023283,0.081690,71.5,22439,13326,8,7,8,6,7,"Router provides a solid three-phase migration with good safety practices, but uses TIMESTAMPTZ instead of TIMESTAMP(3), lacks FOR UPDATE SKIP LOCKED for concurrency, and includes unnecessary DEFAULT NOW() in migration 1 that complicates the approach.",""
db-2,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4.6,mid,0.020055,0.055500,63.9,20888,11847,9,9,8,8,8,"Router provides correct CONCURRENTLY syntax and comprehensive guidance, but adds unnecessary DO block complexity and slightly verbose documentation compared to benchmark's cleaner approach.",""
db-3,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.014875,0.101130,85.3,5087,15972,6,5,6,4,5,"Router provides a working plan but lacks batching strategy, proper reversibility for final drop, NOT NULL enforcement, and sophisticated data parsing logic that handles edge cases like single names.",""
ref-1,multi_file_refactor,multi_file_refactor,5,anthropic/claude-sonnet-4.6,mid,0.004556,0.100890,95.5,20519,12829,6,4,7,3,5,"Router response extracts auth logic but is incomplete (truncated routes file), lacks helper functions (hashPassword, verifyToken), missing error handling for JWT_SECRET, and doesn't provide a complete refactored solution compared to benchmark's comprehensive approach.",""
ref-2,multi_file_refactor,multi_file_refactor,3,google/gemini-2.5-pro,strong,0.004180,0.045840,90.9,20115,8680,7,5,8,4,6,"Router provides working code with correct refactoring but assumes file structure without asking; benchmark correctly identifies missing context and offers both generic example and request for actual files, which is more appropriate for a refactoring task.",""
arch-1,architecture_design,architecture_design,4,google/gemini-2.5-pro,strong,0.008281,0.206535,96.0,27039,44216,,,,,,"",""
arch-2,architecture_design,architecture_design,5,google/gemini-2.5-pro,strong,0.008584,0.148230,94.2,26204,37334,,,,,,"",""
rewrite-1,prompt_rewrite_only,prompt_rewrite_only,1,openai/gpt-4o-mini,mid,0.000052,0.010425,99.5,1223,3523,,,,,,"",""
edge-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000219,0.028380,99.2,3831,6044,,,,,,"",""
