id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
bug-3,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000210,0.021855,99.0,1952,4195,10,10,9,9,9,"Router correctly identifies the infinite loop bug and provides a working fix with empty dependency array and functional updater; nearly identical to benchmark with only minor stylistic differences.",""
bug-4,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000194,0.022545,99.1,1767,4076,10,10,9,9,9,"Router provides correct fix with clear explanation, but benchmark's example walkthrough is slightly more pedagogically complete.",""
api-1,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000304,0.039015,99.2,4746,4967,9,8,8,7,8,"Router response is functionally correct and handles validation/errors well, but uses .parse() instead of .safeParse(), lacks max length validation, and has minor style differences from the benchmark.",""
api-2,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000249,0.044010,99.4,3709,6081,8,7,7,6,7,"Router response works correctly and handles the core requirements, but lacks TypeScript typing, JSON schema validation, and includes unnecessary 400/500 error handling not requested.",""
api-3,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000233,0.035625,99.3,3273,5067,8,7,8,7,7,"Router response correctly implements Zod validation with proper error handling and 201 status, but uses .parse() instead of .safeParse(), lacks schema completeness (missing optional fields, price validation), and has less structured error details than benchmark.",""
sec-1,security_sensitive_change,security_sensitive_change,5,openai/gpt-4o,strong,0.008280,0.138600,94.0,2112,21031,6,3,5,2,4,"Router response is functionally correct but lacks critical input validation, error handling, bcrypt format verification, and comprehensive test coverage that are essential for security-sensitive password handling.",""
sec-2,security_sensitive_change,api_implementation,5,google/gemini-2.5-pro,strong,0.010320,0.064485,84.0,3195,9879,6,5,7,4,5,"Router response works but lacks critical security details: no environment variable validation, returns old token in response (security risk), missing refresh token logic, insufficient error differentiation, and doesn't strip timing claims from payload.",""
sec-3,security_sensitive_change,security_sensitive_change,5,openai/gpt-4o,strong,0.013635,0.243870,94.4,4261,33598,6,4,5,3,4,"Router uses csurf library (simpler) but has critical flaws: wildcard route matching breaks routing, missing token generation/delivery mechanism, no token expiry, no timing-safe comparison, and lacks logging/monitoring that benchmark provides.",""
sec-4,security_sensitive_change,security_sensitive_change,5,openai/gpt-4o,strong,0.019920,0.243690,91.8,6760,33538,7,6,7,5,6,"Router implementation is functionally correct for basic encrypt/decrypt but lacks key rotation, audit logging, key hashing for lookup, and proper error handling patterns that the benchmark demonstrates as security best practices.",""
db-1,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4-5,mid,0.029778,0.079965,62.8,30921,14289,7,6,7,6,6,"Router provides a more detailed and thoughtful approach with better production considerations (index creation, COALESCE fallback logic, explicit verification), but introduces unnecessary complexity with the CONCURRENT index and problematic advice about running migrations outside Prisma's system; ben",""
db-2,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4-5,mid,0.021315,0.053100,59.9,22522,8986,9,9,8,8,8,"Router provides correct zero-downtime approach with CONCURRENTLY, but adds pre-migration duplicate checking via DO block that could fail the migration itself—benchmark's simpler approach (check separately, then migrate) is cleaner for production.",""
db-3,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.012580,0.094455,86.7,3638,16245,6,5,6,4,5,"Router provides a working three-migration approach but lacks reversibility details, batching strategy for large tables, NOT NULL enforcement, backup safety, and explicit DOWN migrations needed for true reversibility.",""
ref-1,multi_file_refactor,multi_file_refactor,5,google/gemini-2.5-pro,strong,0.023499,0.076890,69.4,15606,10463,7,6,7,6,6,"Router response is functional and well-structured but uses a class-based approach with higher-level abstractions that obscure lower-level crypto operations, incomplete route file, and lacks environment variable validation that the benchmark includes.",""
ref-2,multi_file_refactor,multi_file_refactor,3,google/gemini-2.5-pro,strong,0.006723,0.038220,82.4,20910,7099,8,6,7,4,6,"Router provides working code with consistent renaming across files, but makes assumptions about codebase structure without asking for clarification, uses kebab-case for filenames (non-standard), and lacks the systematic approach and export barrel file that the benchmark demonstrates.",""
arch-1,architecture_design,architecture_design,4,google/gemini-2.5-pro,strong,0.008871,0.206535,95.7,27022,41795,8,7,8,7,7,"Router provides solid architectural thinking with good abstractions and trade-off analysis, but is incomplete (cuts off mid-Approach 2) and less concise than benchmark; both responses are fundamentally sound but benchmark is more polished and complete.",""
arch-2,architecture_design,architecture_design,5,google/gemini-2.5-pro,strong,0.008474,0.193680,95.6,25012,46577,7,6,8,6,6,"Router provides solid architectural thinking but cuts off mid-explanation, lacks the benchmark's critical questioning about actual pain points, and doesn't fully flesh out the strangler pattern or provide concrete next steps.",""
rewrite-1,prompt_rewrite_only,prompt_rewrite_only,1,openai/gpt-4o-mini,mid,0.000052,0.010425,99.5,925,3318,9,6,9,6,7,"Router achieves clarity and brevity but omits output expectations that the benchmark includes, making it less complete for guiding the LLM's response format.",""
edge-1,local_bug_fix,explanation,1,openai/gpt-4o-mini,mid,0.000168,0.024090,99.3,3987,6906,3,2,6,2,3,"Router provides misleading performance analysis, incorrectly suggests O(n log n) is inefficient, and misses the actual likely culprits (repeated sorting, console.log overhead, blocking operations); benchmark correctly identifies the code itself isn't the problem and provides actionable diagnostics.",""
