id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
api-3,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000242,0.035475,99.3,3373,5172,8,7,8,7,7,"Router response correctly implements Zod validation with proper error handling and 201 status, but uses .parse() instead of .safeParse() (less idiomatic), lacks field-level error details, and has a simpler schema missing optional fields and constraints present in benchmark.",""
sec-1,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.014130,0.178425,92.1,4183,28780,7,5,6,4,5,"Router implements bcrypt correctly but lacks input validation, error handling, hash format verification, and rehashing logic that are critical for production security code.",""
sec-2,security_sensitive_change,api_implementation,5,google/gemini-2.5-pro,strong,0.000979,0.074610,98.7,23834,11284,1,1,1,1,1,"Router response is incomplete/empty - only shows a file path comment with no actual implementation code.",""
sec-3,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.014835,0.243870,93.9,3934,33582,7,5,6,3,5,"Router uses a library (csurf) which works but lacks token expiry, timing-safe comparison, and detailed logging that benchmark provides; also has a critical flaw with wildcard route matching that could interfere with actual route handlers.",""
sec-4,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.006174,0.243690,97.5,22344,34137,2,1,4,1,2,"Router response is incomplete (cuts off mid-function), lacks critical security features (key rotation, auth tag validation, key hashing), missing structured payload types, and provides no storage/retrieval abstraction compared to benchmark's production-ready implementation.",""
db-1,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4-5,mid,0.026343,0.080265,67.2,25579,12267,8,7,8,7,7,"Router provides a more detailed, production-ready approach with better explanations and safety checks, but includes unnecessary complexity (DEFAULT NOW() in migration 1, DROP DEFAULT in migration 3) and lacks the FOR UPDATE SKIP LOCKED optimization that the benchmark uses.",""
db-2,database_schema_change,database_schema_change,5,anthropic/claude-sonnet-4-5,mid,0.023385,0.057375,59.2,22002,10648,9,9,8,8,8,"Router provides correct CONCURRENTLY approach with excellent tooling coverage and validation, but adds unnecessary complexity (DO block verification, multiple migration files) and slightly verbose documentation compared to benchmark's cleaner, more focused approach.",""
db-3,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.012625,0.090555,86.1,3542,14537,6,5,6,4,5,"Router provides a working solution but lacks critical reversibility details, batch processing safeguards, NOT NULL enforcement, backup strategy, and a proper phased rollout with fallback logic.",""
ref-1,multi_file_refactor,multi_file_refactor,5,google/gemini-2.5-pro,strong,0.024369,0.100815,75.8,17214,13177,7,6,7,5,6,"Router response is functional and well-structured but uses a class-based approach with tightly coupled User model, lacks environment validation, has incomplete code (truncated login handler), and doesn't demonstrate the full route implementation like the benchmark does.",""
ref-2,multi_file_refactor,multi_file_refactor,3,google/gemini-2.5-pro,strong,0.007660,0.059190,87.1,3026,9037,6,5,6,4,5,"Router provides a valid refactoring plan with correct syntax, but lacks concrete implementation details, doesn't show actual class content, misses barrel exports, and doesn't rename service/controller classes themselves like the benchmark does.",""
arch-1,architecture_design,architecture_design,4,google/gemini-2.5-pro,strong,0.004041,0.190410,97.9,26093,42872,7,6,7,6,6,"Router provides solid foundational thinking and multiple approaches, but response is incomplete (cuts off mid-diagram), lacks concrete code examples, and doesn't fully flesh out key abstractions like error handling, retry logic, or implementation details that benchmark covers more thoroughly.",""
arch-2,architecture_design,architecture_design,5,google/gemini-2.5-pro,strong,0.008394,0.163530,94.9,26107,40038,8,6,8,6,7,"Router provides solid architectural guidance with clear structure and trade-offs, but lacks the benchmark's critical diagnostic question about actual pain points and stops mid-explanation, making it feel incomplete despite good foundational content.",""
rewrite-1,prompt_rewrite_only,prompt_rewrite_only,1,openai/gpt-4o-mini,mid,0.000052,0.010425,99.5,1353,3326,9,6,9,6,7,"Router successfully removes filler and clarifies the request, but omits output expectations that the benchmark includes, making it less complete for guiding the assistant's response.",""
edge-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000211,0.036255,99.4,2544,8431,3,2,6,1,2,"Router provides a false optimization (spreading doesn't improve sort performance) without diagnosing the actual problem, while benchmark correctly identifies lack of evidence for a bug and requests necessary context.",""
