id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
sec-2,security_sensitive_change,api_implementation,5,google/gemini-2.5-pro,strong,0.008910,0.068985,87.1,2780,9935,6,5,7,4,5,"Router response works for basic token rotation but lacks refresh token generation, JTI uniqueness, proper claim preservation, environment validation, and security best practices present in benchmark.",""
sec-3,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.015690,0.089775,82.5,5845,12000,6,4,7,3,5,"Router uses a third-party library (csurf) which works but lacks session binding, token expiry, timing-safe comparison, and proper logging that the benchmark's custom implementation provides; tests are also incomplete and don't properly validate token flow.",""
sec-4,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.017520,0.089595,80.4,6065,12586,9,7,8,6,7,"Router implementation is cryptographically sound and functional, but uses password-based derivation instead of environment-managed keys, lacks input validation rigor, and doesn't prevent timing/oracle attacks like the benchmark does.",""
db-1,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.008180,0.079695,89.7,2811,14116,6,4,5,3,4,"Router's single-step approach causes full table lock during 50M-row backfill, risking downtime; benchmark's batched, non-blocking strategy is production-grade for large tables.",""
db-2,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.008590,0.027000,68.2,3424,5686,6,4,5,3,4,"Router response has critical flaws: wraps CONCURRENTLY in transaction (breaks it), deletes data without validation, and misses the key requirement that migration tools must disable transaction wrapping for CONCURRENTLY to work.",""
db-3,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.010380,0.053235,80.5,3868,10897,6,5,7,4,5,"Router's approach works but drops the name column immediately, creating a risky single-step migration that cannot safely rollback if the app still reads 'name'; benchmark's two-phase approach is superior for production safety.",""
ref-1,multi_file_refactor,multi_file_refactor,5,google/gemini-2.5-pro,strong,0.017559,0.081015,78.3,12056,10791,7,6,7,6,6,"Router response uses a class-based approach with good structure but is incomplete (cut off mid-register), lacks environment validation, and doesn't follow the benchmark's functional decomposition pattern which is more modular and testable.",""
ref-2,multi_file_refactor,multi_file_refactor,3,google/gemini-2.5-pro,strong,0.008040,0.080595,90.0,2667,10715,6,4,5,3,4,"Router provides a valid refactoring plan but lacks concrete implementation details, omits barrel exports, doesn't rename service classes, and shows incomplete file content with vague ellipses instead of actual code.",""
arch-1,architecture_design,architecture_design,4,google/gemini-2.5-pro,strong,0.013655,0.082860,83.5,6322,16326,7,6,7,5,6,"Router provides solid architectural thinking with three valid approaches and good failure mode analysis, but lacks concrete code abstractions, doesn't probe critical requirements (throughput/latency), and the response is incomplete (cuts off mid-sentence).",""
arch-2,architecture_design,architecture_design,5,google/gemini-2.5-pro,strong,0.012915,0.083655,84.6,9607,20920,7,6,8,5,6,"Router provides sound architectural advice with good structure, but lacks the specificity, concrete diagrams, and critical questioning that make the benchmark response more actionable for decision-making.",""
rewrite-1,prompt_rewrite_only,prompt_rewrite_only,1,openai/gpt-4o-mini,mid,0.000052,0.010425,99.5,925,4001,9,7,9,6,7,"Router achieves clarity and brevity but omits output expectations that would guide the LLM's response format, making it less complete than the benchmark.",""
edge-1,local_bug_fix,explanation,1,openai/gpt-4o-mini,mid,0.000186,0.026565,99.3,4683,7725,2,3,5,1,2,"Router provides fundamentally incorrect diagnosis (claiming sort is inherently slow and unstable), misses actual performance issues, and offers vague non-solutions instead of practical debugging steps.",""
