id,category,prompt,expected_task,expected_floor,classified_task,routed_model,routed_tier,task_correct,floor_ok,ceiling_ok,design_pass_pct,router_cost,benchmark_cost,llm_fellback,error
exp-9,explanation,"what does this regex do: /^(?=.*[A-Z])(?=.*\d).{8,}$/",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000145,0.021735,N,""
exp-10,explanation,"what is dependency injection and when should I use it",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000154,0.030105,N,""
edit-1,simple_edit,"rename variable x to count in this function",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000123,0.012690,N,""
edit-2,simple_edit,"add a JSDoc comment to this function",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000171,0.019575,N,""
edit-3,simple_edit,"convert this from var to const/let",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000120,0.012420,N,""
edit-4,simple_edit,"remove all console.log calls from this file",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000156,0.011535,N,""
edit-5,simple_edit,"add type annotations to these function parameters",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000124,0.009435,N,""
edit-6,simple_edit,"fix the typo in this error message: 'Cant find user'",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000112,0.009990,N,""
edit-7,simple_edit,"rename file constants.js to config.js and update imports",simple_edit,cheap,multi_file_refactor,anthropic/claude-sonnet-4.6,mid,N,Y,Y,100,0.006264,0.028965,N,""
edit-8,simple_edit,"change all double quotes to single quotes in this file",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000127,0.009915,N,""
edit-9,simple_edit,"sort these imports alphabetically",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000120,0.009150,N,""
edit-10,simple_edit,"add a TODO comment above this function explaining what's missing",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000131,0.009540,N,""
ui-1,ui_change,"add hover and focus styles to this button using Tailwind",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000122,0.016095,N,""
ui-2,ui_change,"make this card layout stack vertically on mobile",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000132,0.015330,N,""
ui-3,ui_change,"change the primary color from indigo to emerald in this component",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000142,0.023790,N,""
ui-4,ui_change,"add a loading spinner to this button when isLoading prop is true",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000224,0.034215,N,""
ui-5,ui_change,"add an accessibility aria-label to this icon button",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000136,0.020370,N,""
ui-6,ui_change,"increase the font size of the heading and add letter-spacing",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000127,0.013095,N,""
ui-7,ui_change,"wrap this component in a card with shadow and rounded corners",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000143,0.009465,N,""
ui-8,ui_change,"add a fade-in animation when this modal opens",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000187,0.020640,N,""
test-1,test_generation,"write vitest tests for this chunk function covering edge cases",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000373,0.053280,N,""
test-2,test_generation,"write jest tests for an email validator covering valid, invalid, null",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000284,0.057990,N,""
test-3,test_generation,"generate vitest tests including async error cases for this fetchUser function",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000284,0.063570,N,""
test-4,test_generation,"write playwright e2e tests for the login flow",test_generation,cheap,test_generation,google/gemini-2.5-pro,strong,Y,Y,N,100,0.010470,0.122790,N,""
test-5,test_generation,"add unit tests for this date formatter — test ISO, US, EU formats",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000340,0.094545,N,""
test-6,test_generation,"generate property-based tests with fast-check for this sort function",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000336,0.086520,N,""
test-7,test_generation,"write integration tests for the orders API endpoint",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000401,0.122040,N,""
test-8,test_generation,"add snapshot tests for this React Card component",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000206,0.052290,N,""
test-9,test_generation,"write a test that asserts this function throws on invalid input",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000216,0.041370,N,""
test-10,test_generation,"mock this fetch call and write tests for the data transformation",test_generation,cheap,test_generation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000397,0.087885,N,""
bug-1,local_bug_fix,"this function returns undefined when array is empty. fix it to return 0",local_bug_fix,cheap,local_bug_fix,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000188,0.020595,N,""
bug-2,local_bug_fix,"this function has a race condition when called concurrently. find and fix",local_bug_fix,mid,local_bug_fix,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.001138,0.026970,N,""
bug-3,local_bug_fix,"useEffect runs in infinite loop. find the bug",local_bug_fix,cheap,local_bug_fix,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000207,0.024270,N,""
bug-4,local_bug_fix,"there's an off-by-one bug. fix it",local_bug_fix,cheap,local_bug_fix,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000189,0.020205,N,""
bug-5,local_bug_fix,"this api endpoint sometimes returns stale data — i think it's a caching issue",local_bug_fix,mid,local_bug_fix,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.024390,N,""
bug-6,local_bug_fix,"my docker build is failing with permission denied on alpine. what's wrong",local_bug_fix,mid,local_bug_fix,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.032835,N,""
bug-7,local_bug_fix,"this regex matches too much. it should only match ISO dates",local_bug_fix,cheap,local_bug_fix,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000207,0.024270,N,""
bug-8,local_bug_fix,"production is showing 'EADDRINUSE' on startup intermittently",local_bug_fix,mid,local_bug_fix,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.001086,0.050220,N,""
bug-9,local_bug_fix,"tests pass locally but fail on CI with timezone issues",local_bug_fix,mid,local_bug_fix,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.033900,N,""
bug-10,local_bug_fix,"why is my code slow",local_bug_fix,mid,local_bug_fix,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.033990,N,""
bug-11,local_bug_fix,"memory leak in my Node service — heap grows ~50MB per hour",local_bug_fix,strong,local_bug_fix,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.000000,0.046665,N,""
bug-12,local_bug_fix,"deadlock between two transactions. trace and fix",local_bug_fix,strong,local_bug_fix,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.001121,0.032250,N,""
api-1,api_implementation,"write an express POST /todos endpoint that validates with Zod and saves to Prisma",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.008320,0.040665,N,""
api-2,api_implementation,"write a Fastify GET /users/:id that returns 404 if missing, 200 otherwise",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.007850,0.036300,N,""
api-3,api_implementation,"add input validation with Zod and proper error responses to this handler",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.007285,0.036210,N,""
api-4,api_implementation,"create a tRPC router for managing todos with create/list/delete",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.009210,0.072225,N,""
api-5,api_implementation,"add pagination + sorting to this list endpoint",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.008725,0.011625,N,""
api-6,api_implementation,"implement webhook receiver that verifies HMAC signature",api_implementation,strong,api_implementation,openai/gpt-4o,strong,Y,Y,Y,100,0.020235,0.105090,N,""
api-7,api_implementation,"build a websocket endpoint for live notifications using socket.io",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.008270,0.122445,N,""
api-8,api_implementation,"implement file upload endpoint with multer, size limit 5mb",api_implementation,mid,api_implementation,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.009725,0.072030,N,""
sec-1,security_sensitive_change,"implement password verification with bcrypt and constant-time comparison",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.034173,0.227310,N,""
sec-2,security_sensitive_change,"rotate a JWT access token: validate old, issue new with new expiration",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.013223,0.243330,N,""
sec-3,security_sensitive_change,"add CSRF protection to this Express app's mutating endpoints",security_sensitive_change,strong,security_sensitive_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.048762,0.243810,N,""
sec-4,security_sensitive_change,"encrypt API keys at rest with AES-256-GCM, decrypt on read",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.040189,0.243870,N,""
sec-5,security_sensitive_change,"implement rate limiting for login endpoint to prevent brute force",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.016405,0.243765,N,""
sec-6,security_sensitive_change,"validate Stripe webhook signature before processing payment events",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.039939,0.243240,N,""
sec-7,security_sensitive_change,"add OAuth2 PKCE flow for our SPA login",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.002914,0.243870,N,""
sec-8,security_sensitive_change,"implement secure password reset flow with single-use token",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.012608,0.243750,N,""
sec-9,security_sensitive_change,"harden this auth middleware: timing-safe, fail-closed, audit log",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.017064,0.243315,N,""
sec-10,security_sensitive_change,"add input sanitization to prevent SQL injection in this raw query",security_sensitive_change,strong,security_sensitive_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.005057,0.169005,N,""
db-1,database_schema_change,"write a Prisma migration to add NOT NULL 'created_at' to existing orders table (50M rows)",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.027078,0.079515,N,""
db-2,database_schema_change,"add a unique composite index on (user_id, slug) on posts without locking",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.014790,0.054075,N,""
db-3,database_schema_change,"split 'name' on users into 'first_name'/'last_name' with data migration",database_schema_change,strong,database_schema_change,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.022217,0.100860,N,""
db-4,database_schema_change,"add foreign key from orders.user_id to users.id without table scan lock",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.013521,0.050955,N,""
db-5,database_schema_change,"create a partial unique index on email where deleted_at is null",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.014520,0.051750,N,""
db-6,database_schema_change,"convert this enum column to a lookup table — preserve historical data",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.034401,0.116730,N,""
db-7,database_schema_change,"add a soft-delete column with a partial index excluding deleted rows",database_schema_change,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.021735,0.044325,N,""
db-8,database_schema_change,"shard the orders table by tenant_id — design the migration plan",database_schema_change,strong,architecture_design,google/gemini-2.5-pro,strong,N,Y,Y,100,0.018426,0.230160,N,""
ref-1,multi_file_refactor,"extract auth logic from routes/users.ts into a services/authService.ts",multi_file_refactor,mid,multi_file_refactor,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.002881,0.105045,N,""
ref-2,multi_file_refactor,"rename 'Customer' class to 'Client' across all imports and usages",multi_file_refactor,mid,multi_file_refactor,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.007240,0.016815,N,""
ref-3,multi_file_refactor,"split this 800-line component into smaller focused components",multi_file_refactor,mid,multi_file_refactor,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.003387,0.012855,N,""
ref-4,multi_file_refactor,"convert this codebase from callbacks to async/await throughout",multi_file_refactor,mid,multi_file_refactor,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.010135,0.190320,N,""
ref-5,multi_file_refactor,"introduce a logger module and replace all console.log calls with it",multi_file_refactor,mid,multi_file_refactor,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.007400,0.041385,N,""
ref-6,multi_file_refactor,"move shared types into a separate types/ folder and update imports",multi_file_refactor,mid,multi_file_refactor,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.011565,0.039420,N,""
arch-1,architecture_design,"design a notification system supporting email, SMS, push — extensible to new channels",architecture_design,mid,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.022106,0.231390,N,""
arch-2,architecture_design,"we have a monolith with auth, payments, analytics. should we split? team of 6, 1M req/day",architecture_design,mid,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.027808,0.118935,N,""
arch-3,architecture_design,"design a job queue with retries, DLQ, and exactly-once semantics",architecture_design,strong,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.023612,0.231510,N,""
arch-4,architecture_design,"we need to migrate from REST to GraphQL — propose a phased plan",architecture_design,strong,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.025716,0.196830,N,""
arch-5,architecture_design,"design a multi-tenant data model with row-level isolation",architecture_design,strong,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.020726,0.196680,N,""
arch-6,architecture_design,"real-time collaborative editing — propose the conflict resolution model",architecture_design,strong,architecture_design,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.014717,0.167280,N,""
perf-1,performance_optimization,"this React component re-renders too often. find and fix unnecessary re-renders",performance_optimization,mid,performance_optimization,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.007028,0.018840,N,""
perf-2,performance_optimization,"this list query is N+1. rewrite with eager loading",performance_optimization,mid,performance_optimization,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.006664,0.053175,N,""
perf-3,performance_optimization,"our LCP is 4.2s. give me a prioritized list of fixes",performance_optimization,mid,performance_optimization,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.009651,0.045975,N,""
perf-4,performance_optimization,"this aggregate query takes 8s. show me an indexed approach",performance_optimization,mid,performance_optimization,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.013239,0.045360,N,""
perf-5,performance_optimization,"bundle size is 1.8MB. propose a code-splitting strategy",performance_optimization,mid,performance_optimization,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.008679,0.116355,N,""
perf-6,performance_optimization,"this loop is hot in flamegraph — vectorize or rewrite for speed",performance_optimization,strong,performance_optimization,anthropic/claude-sonnet-4.6,mid,Y,N,Y,100,0.000000,0.019965,N,""
devops-1,devops_config,"write a multi-stage Dockerfile for a Next.js production build",devops_config,mid,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.010053,0.054360,N,""
devops-2,devops_config,"write a github actions workflow that runs lint, test, and deploys on main",devops_config,mid,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.026166,0.117465,N,""
devops-3,devops_config,"k8s deployment + service + HPA for a Node service, with resource limits",devops_config,strong,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.029332,0.102045,N,""
devops-4,devops_config,"set up nginx as reverse proxy with TLS and rate limiting",devops_config,strong,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.042177,0.235440,N,""
devops-5,devops_config,"terraform module for an RDS Postgres with backups",devops_config,strong,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.031869,0.238905,N,""
devops-6,devops_config,"write a docker-compose for postgres + redis + the app with healthchecks",devops_config,mid,devops_config,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.030388,0.071355,N,""
doc-1,documentation_write,"generate a README for this project with install, usage, contributing sections",documentation_write,cheap,documentation_write,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000163,0.012300,N,""
doc-2,documentation_write,"add JSDoc to every exported function in this file",documentation_write,cheap,documentation_write,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000278,0.117315,N,""
doc-3,documentation_write,"write an ADR for choosing Postgres over MongoDB for this project",documentation_write,cheap,documentation_write,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000590,0.060915,N,""
doc-4,documentation_write,"generate an OpenAPI spec for these Express routes",documentation_write,cheap,documentation_write,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000456,0.014145,N,""
doc-5,documentation_write,"write release notes for v2.0 highlighting breaking changes",documentation_write,cheap,documentation_write,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000565,0.045150,N,""
dep-1,dependency_update,"upgrade React 17 to 19. list breaking changes I need to address",dependency_update,mid,dependency_update,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.092970,N,""
dep-2,dependency_update,"upgrade Express 4 to 5. migration guide for this app",dependency_update,mid,dependency_update,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.000974,0.087720,N,""
dep-3,dependency_update,"npm audit reports 3 high-severity vulns. fix them",dependency_update,mid,dependency_update,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.000928,0.018735,N,""
dep-4,dependency_update,"bump TypeScript 5.0 to 5.4 — what new strict checks will break",dependency_update,mid,dependency_update,anthropic/claude-sonnet-4.6,mid,Y,Y,Y,100,0.000000,0.047505,N,""
rev-1,code_review,"review this PR diff and call out issues by severity",code_review,cheap,code_review,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000066,0.010125,N,""
rev-2,code_review,"review this auth handler — focus on security",code_review,mid,code_review,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.008875,0.017790,N,""
rev-3,code_review,"is this React component idiomatic? what would you change",code_review,cheap,code_review,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000081,0.012960,N,""
rev-4,code_review,"review this migration for production safety",code_review,strong,database_schema_change,anthropic/claude-sonnet-4.6,mid,N,N,Y,100,0.005928,0.020415,N,""
rev-5,code_review,"give feedback on the naming and structure of this module",code_review,cheap,code_review,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000079,0.015075,N,""
rw-1,prompt_rewrite_only,"rewrite this prompt to be shorter and clearer: 'hey can you maybe please if possible just kind of fi",prompt_rewrite_only,cheap,prompt_rewrite_only,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000052,0.010425,N,""
rw-2,prompt_rewrite_only,"shorten this prompt while keeping all constraints",prompt_rewrite_only,cheap,prompt_rewrite_only,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000089,0.004995,N,""
rw-3,prompt_rewrite_only,"make this prompt more specific so the LLM doesn't hallucinate",prompt_rewrite_only,cheap,prompt_rewrite_only,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000101,0.007950,N,""
edge-1,ui_change,"make my button look nicer",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000171,0.036330,N,""
edge-2,explanation,"what does '?.' do in javascript",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000164,0.023175,N,""
edge-3,test_generation,"make this code testable",test_generation,cheap,unknown,google/gemini-2.5-pro,strong,N,Y,N,100,0.008605,0.008835,N,""
edge-4,creative_generation,"make me a calculator",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.033705,0.307200,N,""
edge-5,explanation,"is this code thread-safe",explanation,cheap,code_review,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000162,0.035955,N,""
edge-6,simple_edit,"make this prettier",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000114,0.011295,N,""
